zip,NCICCode,Year,County,allSum
91380,Santa Clarita,2016,Los Angeles County,14696
91382,Santa Clarita,2016,Los Angeles County,14696
91383,Santa Clarita,2016,Los Angeles County,14696
91390,Santa Clarita,2016,Los Angeles County,14696
91358,Thousand Oaks,2016,Ventura County,8074
91360,Thousand Oaks,2016,Ventura County,8074
91362,Thousand Oaks,2016,Ventura County,8074
91363,Thousand Oaks,2016,Ventura County,8074
91359,Westlake Village,2016,Los Angeles County,1011
91361,Westlake Village,2016,Los Angeles County,1011
91501,Burbank,2016,Los Angeles County,14074
91502,Burbank,2016,Los Angeles County,14074
91503,Burbank,2016,Los Angeles County,14074
91504,Burbank,2016,Los Angeles County,14074
91505,Burbank,2016,Los Angeles County,14074
91506,Burbank,2016,Los Angeles County,14074
91507,Burbank,2016,Los Angeles County,14074
91508,Burbank,2016,Los Angeles County,14074
91510,Burbank,2016,Los Angeles County,14074
91521,Burbank,2016,Los Angeles County,14074
91522,Burbank,2016,Los Angeles County,14074
91523,Burbank,2016,Los Angeles County,14074
91526,Burbank,2016,Los Angeles County,14074
91702,Azusa,2016,Los Angeles County,5612
91706,Baldwin Park,2016,Los Angeles County,7501
91711,Claremont,2016,Los Angeles County,4532
91722,Covina,2016,Los Angeles County,6288
91723,Covina,2016,Los Angeles County,6288
91724,Covina,2016,Los Angeles County,6288
91731,El Monte,2016,Los Angeles County,11903
91732,El Monte,2016,Los Angeles County,11903
91734,El Monte,2016,Los Angeles County,11903
91735,El Monte,2016,Los Angeles County,11903
91733,South El Monte,2016,Los Angeles County,2883
91740,Glendora,2016,Los Angeles County,6678
91741,Glendora,2016,Los Angeles County,6678
91744,La Puente,2016,Los Angeles County,2925
91746,La Puente,2016,Los Angeles County,2925
91747,La Puente,2016,Los Angeles County,2925
91749,La Puente,2016,Los Angeles County,2925
91750,La Verne,2016,Los Angeles County,2753
91754,Monterey Park,2016,Los Angeles County,7761
91755,Monterey Park,2016,Los Angeles County,7761
91756,Monterey Park,2016,Los Angeles County,7761
91765,Diamond Bar,2016,Los Angeles County,4440
91766,Pomona,2016,Los Angeles County,22397
91767,Pomona,2016,Los Angeles County,22397
91768,Pomona,2016,Los Angeles County,22397
91769,Pomona,2016,Los Angeles County,22397
91797,Pomona,2016,Los Angeles County,22397
91799,Pomona,2016,Los Angeles County,22397
91770,Rosemead,2016,Los Angeles County,6184
91771,Rosemead,2016,Los Angeles County,6184
91772,Rosemead,2016,Los Angeles County,6184
91773,San Dimas,2016,Los Angeles County,3755
91775,San Gabriel,2016,Los Angeles County,3342
91776,San Gabriel,2016,Los Angeles County,3342
91778,San Gabriel,2016,Los Angeles County,3342
91780,Temple City,2016,Los Angeles County,2881
91788,Walnut,2016,Los Angeles County,2516
91789,Walnut,2016,Los Angeles County,2516
91795,Walnut,2016,Los Angeles County,2516
91790,West Covina,2016,Los Angeles County,13317
91791,West Covina,2016,Los Angeles County,13317
91792,West Covina,2016,Los Angeles County,13317
91793,West Covina,2016,Los Angeles County,13317
91801,Alhambra,2016,Los Angeles County,9581
91802,Alhambra,2016,Los Angeles County,9581
91803,Alhambra,2016,Los Angeles County,9581
91804,Alhambra,2016,Los Angeles County,9581
91841,Alhambra,2016,Los Angeles County,9581
91896,Alhambra,2016,Los Angeles County,9581
91899,Alhambra,2016,Los Angeles County,9581
92602,Irvine,2016,Orange County,17563
92603,Irvine,2016,Orange County,17563
92604,Irvine,2016,Orange County,17563
92606,Irvine,2016,Orange County,17563
92612,Irvine,2016,Orange County,17563
92614,Irvine,2016,Orange County,17563
92616,Irvine,2016,Orange County,17563
92617,Irvine,2016,Orange County,17563
92618,Irvine,2016,Orange County,17563
92619,Irvine,2016,Orange County,17563
92620,Irvine,2016,Orange County,17563
92623,Irvine,2016,Orange County,17563
92697,Irvine,2016,Orange County,17563
92709,Irvine,2016,Orange County,17563
92710,Irvine,2016,Orange County,17563
92605,Huntington Beach,2016,Orange County,21182
92615,Huntington Beach,2016,Orange County,21182
92646,Huntington Beach,2016,Orange County,21182
92647,Huntington Beach,2016,Orange County,21182
92648,Huntington Beach,2016,Orange County,21182
92649,Huntington Beach,2016,Orange County,21182
92607,Laguna Niguel,2016,Orange County,3642
92677,Laguna Niguel,2016,Orange County,3642
92626,Costa Mesa,2016,Orange County,21673
92627,Costa Mesa,2016,Orange County,21673
92628,Costa Mesa,2016,Orange County,21673
92629,Dana Point,2016,Orange County,2813
92630,Lake Forest,2016,Orange County,3820
92637,Laguna Woods,2016,Orange County,756
92651,Laguna Beach,2016,Orange County,3428
92652,Laguna Beach,2016,Orange County,3428
92653,Laguna Hills,2016,Orange County,2544
92654,Laguna Hills,2016,Orange County,2544
92656,Aliso Viejo,2016,Orange County,1892
92698,Aliso Viejo,2016,Orange County,1892
92658,Newport Beach,2016,Orange County,10358
92659,Newport Beach,2016,Orange County,10358
92660,Newport Beach,2016,Orange County,10358
92661,Newport Beach,2016,Orange County,10358
92662,Newport Beach,2016,Orange County,10358
92663,Newport Beach,2016,Orange County,10358
92672,San Clemente,2016,Orange County,3947
92673,San Clemente,2016,Orange County,3947
92674,San Clemente,2016,Orange County,3947
92675,San Juan Capistrano,2016,Orange County,2339
92693,San Juan Capistrano,2016,Orange County,2339
92683,Westminster,2016,Orange County,13101
92684,Westminster,2016,Orange County,13101
92685,Westminster,2016,Orange County,13101
92688,Rancho Santa Margarita,2016,Orange County,1435
92690,Mission Viejo,2016,Orange County,4777
92691,Mission Viejo,2016,Orange County,4777
92692,Mission Viejo,2016,Orange County,4777
92701,Santa Ana,2016,Orange County,35601
92702,Santa Ana,2016,Orange County,35601
92703,Santa Ana,2016,Orange County,35601
92704,Santa Ana,2016,Orange County,35601
92705,Santa Ana,2016,Orange County,35601
92706,Santa Ana,2016,Orange County,35601
92707,Santa Ana,2016,Orange County,35601
92711,Santa Ana,2016,Orange County,35601
92712,Santa Ana,2016,Orange County,35601
92725,Santa Ana,2016,Orange County,35601
92735,Santa Ana,2016,Orange County,35601
92799,Santa Ana,2016,Orange County,35601
92708,Fountain Valley,2016,Orange County,6564
92728,Fountain Valley,2016,Orange County,6564
92780,Tustin,2016,Orange County,8568
92781,Tustin,2016,Orange County,8568
92782,Tustin,2016,Orange County,8568
92801,Anaheim,2016,Orange County,45499
92802,Anaheim,2016,Orange County,45499
92803,Anaheim,2016,Orange County,45499
92804,Anaheim,2016,Orange County,45499
92805,Anaheim,2016,Orange County,45499
92806,Anaheim,2016,Orange County,45499
92807,Anaheim,2016,Orange County,45499
92808,Anaheim,2016,Orange County,45499
92809,Anaheim,2016,Orange County,45499
92812,Anaheim,2016,Orange County,45499
92814,Anaheim,2016,Orange County,45499
92815,Anaheim,2016,Orange County,45499
92816,Anaheim,2016,Orange County,45499
92817,Anaheim,2016,Orange County,45499
92825,Anaheim,2016,Orange County,45499
92850,Anaheim,2016,Orange County,45499
92899,Anaheim,2016,Orange County,45499
92821,Brea,2016,Orange County,6994
92822,Brea,2016,Orange County,6994
92823,Brea,2016,Orange County,6994
92831,Fullerton,2016,Orange County,16539
92832,Fullerton,2016,Orange County,16539
92833,Fullerton,2016,Orange County,16539
92834,Fullerton,2016,Orange County,16539
92835,Fullerton,2016,Orange County,16539
92836,Fullerton,2016,Orange County,16539
92837,Fullerton,2016,Orange County,16539
92838,Fullerton,2016,Orange County,16539
92840,Garden Grove,2016,Orange County,20790
92841,Garden Grove,2016,Orange County,20790
92842,Garden Grove,2016,Orange County,20790
92843,Garden Grove,2016,Orange County,20790
92844,Garden Grove,2016,Orange County,20790
92845,Garden Grove,2016,Orange County,20790
92846,Garden Grove,2016,Orange County,20790
92856,Orange,2016,Orange County,12599
92857,Orange,2016,Orange County,12599
92859,Orange,2016,Orange County,12599
92862,Orange,2016,Orange County,12599
92863,Orange,2016,Orange County,12599
92864,Orange,2016,Orange County,12599
92865,Orange,2016,Orange County,12599
92866,Orange,2016,Orange County,12599
92867,Orange,2016,Orange County,12599
92868,Orange,2016,Orange County,12599
92869,Orange,2016,Orange County,12599
92861,Villa Park,2016,Orange County,376
92870,Placentia,2016,Orange County,3682
92871,Placentia,2016,Orange County,3682
92885,Yorba Linda,2016,Orange County,3314
92886,Yorba Linda,2016,Orange County,3314
92887,Yorba Linda,2016,Orange County,3314
93001,Ventura,2016,Ventura County,18310
93002,Ventura,2016,Ventura County,18310
93003,Ventura,2016,Ventura County,18310
93004,Ventura,2016,Ventura County,18310
93005,Ventura,2016,Ventura County,18310
93006,Ventura,2016,Ventura County,18310
93007,Ventura,2016,Ventura County,18310
